Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
TR0402KR-07360KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;360000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07360RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;360.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0736KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;36000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0736RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;36.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07390KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;390000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07390RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;390.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0739KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;39000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0739RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;39.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-073K3L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;3300.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-073K6L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;3600.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-073K9L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;3900.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-073KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;3000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-073M3L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;3300000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-073M6L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;3600000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-073M9L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;3900000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
